airline_name,max_early_departure_minutes
"SkyWest Airlines Inc.: OO",46
"PSA Airlines Inc.: OH",41
"Allegiant Air: G4",40
"Alaska Airlines Inc.: AS",35
"Envoy Air: MQ",30
"Southwest Airlines Co.: WN",29
"JetBlue Airways: B6",27
"Delta Air Lines Inc.: DL",27
"Republic Airline: YX",27
"Spirit Air Lines: NK",26
"Frontier Airlines Inc.: F9",25
"Endeavor Air Inc.: 9E",24
"American Airlines Inc.: AA",24
"Hawaiian Airlines Inc.: HA",23
"United Air Lines Inc.: UA",21
