airport_name,cancel_reason,num_cancel
"Ithaca/Cortland, NY: Ithaca Tompkins Regional","National Air System",6
"Lansing, MI: Capital Region International",Weather,6
"Lexington, KY: Blue Grass",Weather,6
"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",Weather,6
"Moline, IL: Quad City International",Weather,6
"Worcester, MA: Worcester Regional","National Air System",6
"Santa Barbara, CA: Santa Barbara Municipal",Weather,6
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,6
"Fayetteville, AR: Northwest Arkansas Regional",Weather,6
"Casper, WY: Casper/Natrona County International",Weather,5
"El Paso, TX: El Paso International",Weather,5
"Eugene, OR: Mahlon Sweet Field",Carrier,5
"Fargo, ND: Hector International",Weather,5
"Sioux Falls, SD: Joe Foss Field",Carrier,5
"Grand Junction, CO: Grand Junction Regional",Carrier,5
"Hayden, CO: Yampa Valley",Weather,5
"Jackson, WY: Jackson Hole",Weather,5
"Laramie, WY: Laramie Regional",Weather,5
"North Platte, NE: North Platte Regional Airport Lee Bird Field",Weather,5
"Montrose/Delta, CO: Montrose Regional",Weather,5
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field","National Air System",5
"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",Weather,5
"Kodiak, AK: Kodiak Airport",Weather,4
"Billings, MT: Billings Logan International",Carrier,4
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,4
"Chattanooga, TN: Lovell Field",Weather,4
"Hancock/Houghton, MI: Houghton County Memorial",Weather,4
"Charleston/Dunbar, WV: Yeager",Weather,4
"Decatur, IL: Decatur Airport",Weather,4
"Hilton Head, SC: Hilton Head Airport",Weather,4
"Hilo, HI: Hilo International",Carrier,4
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Weather,4
"Midland/Odessa, TX: Midland International Air and Space Port",Weather,4
"Montgomery, AL: Montgomery Regional",Weather,4
"Jacksonville/Camp Lejeune, NC: Albert J Ellis",Weather,4
"Peoria, IL: General Downing - Peoria International",Weather,4
"State College, PA: University Park",Weather,4
"Tucson, AZ: Tucson International",Weather,4
"Champaign/Urbana, IL: University of Illinois/Willard",Weather,3
"Dodge City, KS: Dodge City Regional",Weather,3
"Duluth, MN: Duluth International",Weather,3
"Devils Lake, ND: Devils Lake Regional",Weather,3
"Panama City, FL: Northwest Florida Beaches International",Weather,3
"Eagle, CO: Eagle County Regional",Weather,3
"Flint, MI: Bishop International",Weather,3
"Fort Wayne, IN: Fort Wayne International",Weather,3
"Gunnison, CO: Gunnison-Crested Butte Regional",Weather,3
"Johnstown, PA: John Murtha Johnstown-Cambria County",Weather,3
"Lubbock, TX: Lubbock Preston Smith International",Weather,3
"Columbus, OH: Rickenbacker International",Carrier,3
"Long Beach, CA: Long Beach Airport",Carrier,3
"Lincoln, NE: Lincoln Airport",Weather,3
"Melbourne, FL: Melbourne International",Weather,3
"Missoula, MT: Missoula International",Weather,3
"Punta Gorda, FL: Punta Gorda Airport",Weather,3
"Rock Springs, WY: Southwest Wyoming Regional",Weather,3
"Springfield, MO: Springfield-Branson National",Carrier,3
"Charlotte Amalie, VI: Cyril E King",Carrier,3
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,3
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International","National Air System",2
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,2
"Augusta, GA: Augusta Regional at Bush Field",Weather,2
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Carrier,2
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,2
"Belleville, IL: Scott AFB/MidAmerica",Carrier,2
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,2
"Moab, UT: Canyonlands Field",Weather,2
"Dickinson, ND: Dickinson - Theodore Roosevelt Regional",Weather,2
"Fairbanks, AK: Fairbanks International",Carrier,2
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,2
"Kalispell, MT: Glacier Park International",Carrier,2
"Fort Dodge, IA: Fort Dodge Regional",Weather,2
"Garden City, KS: Garden City Regional",Weather,2
"Grand Island, NE: Central Nebraska Regional",Weather,2
"Great Falls, MT: Great Falls International",Carrier,2
"Joplin, MO: Joplin Regional",Weather,2
"Juneau, AK: Juneau International",Carrier,2
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,2
"Saginaw/Bay City/Midland, MI: MBS International",Weather,2
"Mason City, IA: Mason City Municipal",Weather,2
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Weather,2
"Medford, OR: Rogue Valley International - Medford",Carrier,2
"Minot, ND: Minot International",Weather,2
"Monterey, CA: Monterey Regional",Weather,2
"Rapid City, SD: Rapid City Regional",Carrier,2
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,2
"Tallahassee, FL: Tallahassee International",Carrier,2
"Vernal, UT: Vernal Regional",Weather,2
"Waco, TX: Waco Regional",Weather,1
"Amarillo, TX: Rick Husband Amarillo International","National Air System",1
"Bethel, AK: Bethel Airport",Carrier,1
"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",Weather,1
"Bishop, CA: Bishop Airport","National Air System",1
"Brunswick, GA: Brunswick Golden Isles",Carrier,1
